"scenario","run","method","ARI","NMI","seconds"
"noisy",15,"longTAPIO-first",0.551215823348514,0.553837821916044,2.26900000000023
"noisy",15,"longTAPIO-screened",0.674164209038611,0.677445660022206,2.33800000000338
"noisy",15,"clusterMLD",0.697580456990974,0.682280414146751,1.75899999999092
"noisy",15,"kml3d",0.882242840808496,0.86397348984758,0.307000000000698
"noisy",16,"longTAPIO-random_weighted",0.622019954772412,0.636291983033618,2.4030000000057
"noisy",16,"longTAPIO-random_weighted_95",0.487663398323145,0.554297276251053,2.24199999999837
"noisy",16,"longTAPIO-first",0.486106175537785,0.538714200326825,2.2560000000085
"noisy",16,"longTAPIO-screened",0.622019954772412,0.636291983033618,2.4030000000057
"noisy",16,"clusterMLD",0.709393247857645,0.71715102096763,1.75099999998929
"noisy",16,"kml3d",0.858119244511535,0.835558723393621,0.305999999996857
"noisy",17,"longTAPIO-random_weighted",0.518114719090685,0.529361125558661,2.20100000000093
"noisy",17,"longTAPIO-random_weighted_95",0.581239097040483,0.631905321139939,2.28800000000047
"noisy",17,"longTAPIO-first",0.364525103085704,0.410022092927027,2.37699999999313
"noisy",17,"longTAPIO-screened",0.518114719090685,0.529361125558661,2.20100000000093
"noisy",17,"clusterMLD",0.655026222989721,0.67547726689086,1.75100000000384
"noisy",17,"kml3d",0.743377238218312,0.741363855995316,0.304999999993015
"noisy",18,"longTAPIO-random_weighted",0.669530715221353,0.661003075610999,2.34900000000198
"noisy",18,"longTAPIO-random_weighted_95",0.636166593357675,0.649588929808323,2.38299999998708
"noisy",18,"longTAPIO-first",0.557145793075288,0.554157698206292,2.25200000000768
"noisy",18,"longTAPIO-screened",0.669530715221353,0.661003075610999,2.34900000000198
"noisy",18,"clusterMLD",0.794392580501195,0.791730168225829,1.75099999998929
"noisy",18,"kml3d",0.883260338614829,0.865693356336914,0.311000000001513
"noisy",19,"longTAPIO-random_weighted",0.767466026208642,0.774438759716935,2.35199999999895
"noisy",19,"longTAPIO-random_weighted_95",0.734066208806327,0.717904023079209,2.23099999999977
"noisy",19,"longTAPIO-first",0.545661792925686,0.536506508705613,2.26200000000244
