"eta","sigma","run","Original_Train_ARI","Original_Train_NMI","Inductive_Train_ARI","Inductive_Train_NMI","Between_Methods_ARI","Between_Methods_NMI","Delta_Train_ARI","Delta_Train_NMI","Inductive_Test_ARI","Inductive_Test_NMI","Inductive_Test_Margin","Test_Minus_Train_ARI","Test_Minus_Train_NMI","Time_Original","Time_Inductive_Fit","Time_Inductive_Predict"
5,3,16,0.98170687623533,0.976565846240636,0.98170687623533,0.976565846240636,1,1,0,0,1,1,0.254150337469924,0.0182931237646701,0.0234341537593635,0.537999999999982,1.55000000000001,3.131
5,3,17,1,1,1,1,1,1,0,0,0.956438964449765,0.954991890472938,0.28015403400249,-0.0435610355502349,-0.0450081095270618,0.548000000000002,1.55099999999999,3.22999999999999
5,3,18,0.941103927729098,0.928816516139119,0.941103927729098,0.928816516139119,1,1,0,0,1,1,0.28461193287037,0.058896072270902,0.0711834838608815,0.546000000000021,1.548,3.13399999999999
5,3,19,0.981390320157517,0.976445227867887,0.981390320157517,0.976445227867887,1,1,0,0,1,1,0.27727193287037,0.0186096798424833,0.0235547721321134,0.534999999999997,1.547,3.13
5,3,20,0.980548781947076,0.976445227867886,0.980548781947076,0.976445227867886,1,1,0,0,0.907406923032659,0.922953852844204,0.28474783970659,-0.0731418589144177,-0.0534913750236823,0.641999999999996,1.55000000000001,3.28399999999996
5,5,1,0.637994918996105,0.646478490450242,0.637994918996105,0.646478490450242,1,1,0,0,0.791727147016637,0.789337947438781,0.153589374674842,0.153732228020532,0.14285945698854,0.546000000000049,1.553,3.21699999999998
5,5,2,0.679458328820345,0.702473878883419,0.679458328820345,0.702473878883419,1,1,0,0,0.792813727445353,0.81168965425634,0.150937312507364,0.113355398625008,0.109215775372921,0.541999999999973,1.54699999999997,3.21100000000001
5,5,3,0.765272544377461,0.759392656671061,0.765272544377461,0.759392656671061,1,1,0,0,0.74356547911157,0.742773455424461,0.161886662237292,-0.0217070652658916,-0.0166192012465997,0.547000000000025,1.54700000000003,3.125
5,5,4,0.699746627751325,0.720051057351127,0.699746627751325,0.720051057351127,1,1,0,0,0.761919543084182,0.82250879462011,0.167079390756938,0.0621729153328568,0.102457737268983,0.579000000000008,1.54699999999997,3.21299999999997
5,5,5,0.81258348724536,0.861973673432077,0.81258348724536,0.861973673432077,1,1,0,0,0.788266682506447,0.849687726767249,0.17008236073975,-0.024316804738913,-0.0122859466648283,0.540999999999997,1.63999999999999,3.12900000000002
5,5,6,0.824591333215557,0.821043254689476,0.824591333215557,0.821043254689476,1,1,0,0,0.860656873969944,0.877143519685832,0.145562988946198,0.0360655407543875,0.0561002649963555,0.545000000000016,1.54599999999999,3.12099999999998
5,5,7,0.701576623790143,0.71389659489391,0.701576623790143,0.71389659489391,1,1,0,0,0.637339916993056,0.649307166928851,0.172218589419839,-0.0642367067970869,-0.0645894279650592,0.547000000000025,1.54599999999999,3.13600000000002
5,5,8,0.751616629701341,0.788859312656345,0.751616629701341,0.788859312656345,1,1,0,0,0.645834923057357,0.686920548653326,0.168727163182931,-0.105781706643984,-0.101938764003019,0.533999999999992,1.54999999999995,3.13600000000002
5,5,9,0.765560132454663,0.77737762557908,0.765560132454663,0.77737762557908,1,1,0,0,0.944884122267765,0.91762721431974,0.171429366048927,0.179323989813102,0.140249588740659,0.548999999999978,1.55000000000001,3.13200000000001
5,5,10,0.59059820396428,0.659016375529233,0.59059820396428,0.659016375529233,1,1,0,0,0.87923985662029,0.868400278245312,0.180146066810345,0.288641652656011,0.209383902716079,0.547000000000025,1.55000000000001,3.13600000000002
