"Experiment","Structure","Condition","Run","N","P","Signal","Noise","SignalFraction","Method","Mtry","ARI","NMI","Time"
"DIMENSIONALITY","BALANCED","N80_P25_S10",12,80,25,10,15,0.4,"longTAPIO",5,0.551316428435699,0.646902474705821,0.605999999999767
"DIMENSIONALITY","BALANCED","N80_P25_S10",12,80,25,10,15,0.4,"kml3d",NA,0.570396805166114,0.675759568160026,0.457999999999629
"DIMENSIONALITY","BALANCED","N80_P25_S10",13,80,25,10,15,0.4,"longTAPIO",5,0.557742058611476,0.6643875858108,0.600000000000364
"DIMENSIONALITY","BALANCED","N80_P25_S10",13,80,25,10,15,0.4,"kml3d",NA,0.569494042743723,0.635447288659193,0.456000000000131
"DIMENSIONALITY","BALANCED","N80_P25_S10",14,80,25,10,15,0.4,"longTAPIO",5,0.724786772816128,0.78892754687294,0.693000000000211
"DIMENSIONALITY","BALANCED","N80_P25_S10",14,80,25,10,15,0.4,"kml3d",NA,0.530060346589503,0.627043716851179,0.456000000000131
"DIMENSIONALITY","BALANCED","N80_P25_S10",15,80,25,10,15,0.4,"longTAPIO",5,0.778643667089882,0.82055380985001,0.594000000000051
"DIMENSIONALITY","BALANCED","N80_P25_S10",15,80,25,10,15,0.4,"kml3d",NA,0.656197432252043,0.697460946369734,0.456000000000131
"DIMENSIONALITY","BALANCED","N80_P25_S10",16,80,25,10,15,0.4,"longTAPIO",5,0.716616815864264,0.787715434507528,0.59900000000016
"DIMENSIONALITY","BALANCED","N80_P25_S10",16,80,25,10,15,0.4,"kml3d",NA,0.589546378666781,0.669618017088572,0.457999999999629
"DIMENSIONALITY","BALANCED","N80_P25_S10",17,80,25,10,15,0.4,"longTAPIO",5,0.719142412942085,0.76951999625247,0.601000000000568
"DIMENSIONALITY","BALANCED","N80_P25_S10",17,80,25,10,15,0.4,"kml3d",NA,0.703085394633336,0.732280754073403,0.463999999999942
"DIMENSIONALITY","BALANCED","N80_P25_S10",18,80,25,10,15,0.4,"longTAPIO",5,0.639821254239676,0.731371079003173,0.59900000000016
"DIMENSIONALITY","BALANCED","N80_P25_S10",18,80,25,10,15,0.4,"kml3d",NA,0.63893587736533,0.721555921530848,0.454999999999927
"DIMENSIONALITY","BALANCED","N80_P25_S10",19,80,25,10,15,0.4,"longTAPIO",5,0.74084061448303,0.807003974052405,0.591000000000349
"DIMENSIONALITY","BALANCED","N80_P25_S10",19,80,25,10,15,0.4,"kml3d",NA,0.677446480856712,0.759815885194187,0.46100000000024
"DIMENSIONALITY","BALANCED","N80_P25_S10",20,80,25,10,15,0.4,"longTAPIO",5,0.763531418639831,0.820265586686463,0.599999999999454
"DIMENSIONALITY","BALANCED","N80_P25_S10",20,80,25,10,15,0.4,"kml3d",NA,0.371406788579037,0.509170259004333,0.452000000000226
"DIMENSIONALITY","BALANCED","N80_P50_S20",1,80,50,20,30,0.4,"longTAPIO",8,0.744210062067704,0.792393075490283,0.676000000000386
"DIMENSIONALITY","BALANCED","N80_P50_S20",1,80,50,20,30,0.4,"kml3d",NA,0.635388593686921,0.680111929016006,1.0649999999996
"DIMENSIONALITY","BALANCED","N80_P50_S20",2,80,50,20,30,0.4,"longTAPIO",8,0.849020956874051,0.869886434155382,0.67699999999968
"DIMENSIONALITY","BALANCED","N80_P50_S20",2,80,50,20,30,0.4,"kml3d",NA,0.615379655005642,0.685888144696535,1.07099999999991
"DIMENSIONALITY","BALANCED","N80_P50_S20",3,80,50,20,30,0.4,"longTAPIO",8,0.868237166559471,0.882214683641269,0.672999999999774
"DIMENSIONALITY","BALANCED","N80_P50_S20",3,80,50,20,30,0.4,"kml3d",NA,0.782297749491503,0.791718392634579,1.17099999999937
"DIMENSIONALITY","BALANCED","N80_P50_S20",4,80,50,20,30,0.4,"longTAPIO",8,0.669743947047553,0.757576286209831,0.672999999999774
"DIMENSIONALITY","BALANCED","N80_P50_S20",4,80,50,20,30,0.4,"kml3d",NA,0.689714704993742,0.768276001982953,1.0639999999994
"DIMENSIONALITY","BALANCED","N80_P50_S20",5,80,50,20,30,0.4,"longTAPIO",8,0.740598047370956,0.797791239232195,0.674999999999272
"DIMENSIONALITY","BALANCED","N80_P50_S20",5,80,50,20,30,0.4,"kml3d",NA,0.723797415635515,0.787977841799474,1.07099999999991
