"Experiment","Structure","Condition","N","P","Signal","Noise","SignalFraction","Method","ARI_Mean","NMI_Mean","Time_Mean","ARI_SD","NMI_SD","Time_SD"
"DIMENSIONALITY","BALANCED","N200_P50_S20",200,50,20,30,0.4,"kml3d",0.692626228110481,0.735145920645068,4.12209999999996,0.0591530187152946,0.0412834066734844,0.206092952968198
"DIMENSIONALITY","BALANCED","N200_P50_S20",200,50,20,30,0.4,"longTAPIO",0.774530968606764,0.821958700142365,3.61030000000001,0.0658582242772435,0.0471431545344741,0.21435560714791
"DIMENSIONALITY","BALANCED","N80_P10_S4",80,10,4,6,0.4,"kml3d",0.416442638865305,0.491150223763251,0.242999999999938,0.158598402367906,0.145355685674324,0.00215211034736723
"DIMENSIONALITY","BALANCED","N80_P10_S4",80,10,4,6,0.4,"longTAPIO",0.69134072452203,0.762962065185055,0.588450000000057,0.091476521545062,0.0654708760078492,0.0217048987921018
"DIMENSIONALITY","BALANCED","N80_P100_S40",80,100,40,60,0.4,"kml3d",0.667097335061755,0.733395824961729,3.70855000000001,0.0867511548716959,0.0619580370245582,0.058548652733083
"DIMENSIONALITY","BALANCED","N80_P100_S40",80,100,40,60,0.4,"longTAPIO",0.74939499106914,0.805870354437667,0.759250000000202,0.120275211768513,0.0912240464446118,0.0430298244182932
"DIMENSIONALITY","BALANCED","N80_P25_S10",80,25,10,15,0.4,"kml3d",0.638310701200265,0.700655717695985,0.456550000000016,0.106584433339588,0.0807862724706469,0.00330031896386756
"DIMENSIONALITY","BALANCED","N80_P25_S10",80,25,10,15,0.4,"longTAPIO",0.735629223155048,0.793571693422429,0.60939999999996,0.0919619899582762,0.0711055192879306,0.0304741478011384
"DIMENSIONALITY","BALANCED","N80_P50_S20",80,50,20,30,0.4,"kml3d",0.666309599178928,0.731396873682207,1.07374999999979,0.0568620235392003,0.0384891309486327,0.023355096366975
"DIMENSIONALITY","BALANCED","N80_P50_S20",80,50,20,30,0.4,"longTAPIO",0.729605180116312,0.790411469154096,0.684349999999904,0.0963274059576049,0.0678713071061612,0.0292381779979487
"DIMENSIONALITY","IMBALANCED","N120_P10_S4",120,10,4,6,0.4,"kml3d",0.142329040586249,0.193899781454795,0.313400000000092,0.0735787558554696,0.0801377813667999,0.00290915071700331
"DIMENSIONALITY","IMBALANCED","N120_P10_S4",120,10,4,6,0.4,"longTAPIO",0.388752742708687,0.520873357673229,0.967399999999952,0.135121104950877,0.137982242419087,0.0312113339739017
"DIMENSIONALITY","IMBALANCED","N120_P100_S40",120,100,40,60,0.4,"kml3d",0.43123354392961,0.540369111997908,5.19620000000004,0.0816961796916426,0.0714597252720247,0.0604810540145806
"DIMENSIONALITY","IMBALANCED","N120_P100_S40",120,100,40,60,0.4,"longTAPIO",0.468394517222393,0.599417688416994,1.18095000000008,0.0990632826351881,0.0752671879967529,0.0409138697367901
"DIMENSIONALITY","IMBALANCED","N120_P25_S10",120,25,10,15,0.4,"kml3d",0.333482761360706,0.43154903126547,0.581899999999996,0.082193331574405,0.0814239465108802,0.00372615224143529
"DIMENSIONALITY","IMBALANCED","N120_P25_S10",120,25,10,15,0.4,"longTAPIO",0.435035907524261,0.55979920063085,0.997699999999986,0.111854129391324,0.0909728319382327,0.0318716174676263
"DIMENSIONALITY","IMBALANCED","N120_P50_S20",120,50,20,30,0.4,"kml3d",0.349848157062226,0.456036167503268,1.58230000000008,0.155311371545808,0.143447965121935,0.0225390888528458
"DIMENSIONALITY","IMBALANCED","N120_P50_S20",120,50,20,30,0.4,"longTAPIO",0.426859937883105,0.569674899697579,1.09635000000003,0.121861868845255,0.101390828379562,0.0285754311106706
