"run","visit","cluster","feature","incremental_importance"
2,10,2,"y3",-0.0164704800864106
2,10,2,"y4",-0.00699934161799332
2,10,2,"y5",0.00505453150457291
2,10,3,"y1",0.00135490326763543
2,10,3,"y2",0.0156052610681339
2,10,3,"y3",0.0116333799905733
2,10,3,"y4",0.0161827993173684
2,10,3,"y5",0.011246739269125
2,10,4,"y1",-0.00569115047268987
2,10,4,"y2",0.00143841884005902
2,10,4,"y3",0.00736232512544299
2,10,4,"y4",0.00433246651891406
2,10,4,"y5",-0.00228055481552081
3,1,1,"y1",0.94551231529689
3,1,1,"y2",0.86830698214279
3,1,1,"y3",0.825677337618317
3,1,1,"y4",0.765375414750364
3,1,1,"y5",0.642675729547098
3,1,2,"y1",0.951115162274312
3,1,2,"y2",0.847499658830544
3,1,2,"y3",0.823421346772764
3,1,2,"y4",0.82970516128693
3,1,2,"y5",0.798794441886359
3,1,3,"y1",0.993727394169193
3,1,3,"y2",0.7912035582825
3,1,3,"y3",0.826687049909429
3,1,3,"y4",0.735887933392879
3,1,3,"y5",0.62004150119577
3,1,4,"y1",0.816020702264736
3,1,4,"y2",0.782772262000221
3,1,4,"y3",0.576069091610284
3,1,4,"y4",1
3,1,4,"y5",0.558184270014558
3,2,1,"y1",-0.01721092032391
3,2,1,"y2",0.0934494394179626
3,2,1,"y3",-0.0110054311778647
3,2,1,"y4",0.0302961838082207
3,2,1,"y5",0.048819010133649
3,2,2,"y1",-0.0185576605887634
3,2,2,"y2",0.0487966333763713
3,2,2,"y3",0.0302259339504435
3,2,2,"y4",0.0147600223604403
3,2,2,"y5",-0.11419521047771
3,2,3,"y1",-0.000687297498210948
3,2,3,"y2",0.0245438781130366
3,2,3,"y3",-0.00270811900083889
3,2,3,"y4",0.0567863401765811
3,2,3,"y5",0.00786292432573865
3,2,4,"y1",0.0836167777944353
3,2,4,"y2",0.0606192930833344
3,2,4,"y3",0.146950354412988
3,2,4,"y4",-0.0199140276876004
3,2,4,"y5",0.0414212529279191
3,3,1,"y1",0.00558843670321307
3,3,1,"y2",-0.0501096858098411
3,3,1,"y3",-0.035119434790333
3,3,1,"y4",-0.0278482151129464
3,3,1,"y5",-0.085692758647877
3,3,2,"y1",0.0482407232404114
3,3,2,"y2",-0.0876878362455373
3,3,2,"y3",-0.0191572971077653
3,3,2,"y4",-0.104874267762362
3,3,2,"y5",-0.0230387463876348
3,3,3,"y1",0.00580651824397849
3,3,3,"y2",0.0693215667158396
3,3,3,"y3",0.0419091722963855
3,3,3,"y4",-0.0135640048253305
3,3,3,"y5",0.00884716741503855
3,3,4,"y1",0.0342309409786243
3,3,4,"y2",-0.00586898055136253
3,3,4,"y3",0.0811831422552504
3,3,4,"y4",-0.00453385438825116
3,3,4,"y5",-0.0150313092924301
3,4,1,"y1",0.0323411399026375
3,4,1,"y2",-0.0119826197662459
3,4,1,"y3",-0.00382948995754884
3,4,1,"y4",0.0579367815301813
3,4,1,"y5",0.0455190003355903
3,4,2,"y1",0.0192017750740399
3,4,2,"y2",-0.0437709135458837
3,4,2,"y3",0.0243319892087358
3,4,2,"y4",-0.00428745524878771
3,4,2,"y5",-0.0525752847142965
3,4,3,"y1",0.000506367670730312
3,4,3,"y2",0.0175373323517309
3,4,3,"y3",0.0410117501407395
3,4,3,"y4",0.0325901424766967
3,4,3,"y5",0.0114057276690391
3,4,4,"y1",0.0344038580071541
3,4,4,"y2",0.0704362961438455
3,4,4,"y3",0.0603428368928768
3,4,4,"y4",-0.0319625137918687
3,4,4,"y5",0.00869378480770933
3,5,1,"y1",0.0302361114519933
3,5,1,"y2",0.0184506396413898
3,5,1,"y3",0.00691580044221618
3,5,1,"y4",0.0121968094625915
3,5,1,"y5",0.0275565351479493
3,5,2,"y1",0
3,5,2,"y2",0.0207615889533307
3,5,2,"y3",0.000793905176709075
3,5,2,"y4",-0.00128694081292136
3,5,2,"y5",0.0195993890109558
3,5,3,"y1",0.000433212378356806
3,5,3,"y2",0.0114386842706358
3,5,3,"y3",-0.0105919683726913
3,5,3,"y4",-0.00184302449801754
3,5,3,"y5",0.0307140420555747
3,5,4,"y1",-0.00786091971439462
3,5,4,"y2",-0.00664863831917395
3,5,4,"y3",0.00883224686634831
3,5,4,"y4",0.00738478672171827
3,5,4,"y5",0.019567784537415
3,6,1,"y1",0.00353291696917568
3,6,1,"y2",-0.0183374195839741
3,6,1,"y3",0.0197358696645548
3,6,1,"y4",-0.00631456816972586
3,6,1,"y5",0.0214345488505752
3,6,2,"y1",-0.00497701166018361
3,6,2,"y2",-0.0165375136997569
3,6,2,"y3",-0.00104636953847526
3,6,2,"y4",0.0102836433520143
3,6,2,"y5",0.00735997684676937
3,6,3,"y1",0.000213805035952586
3,6,3,"y2",0.0123895127561858
3,6,3,"y3",0.00637057064997837
3,6,3,"y4",0.0056610334465218
