"visit","cluster","feature","mean_incremental","sd_incremental"
5,"Cluster 2","y5",0.00307357391615658,0.0243554528487363
5,"Cluster 3","y1",0.0025579020433344,0.0155251299796633
5,"Cluster 3","y2",0.00812393466990842,0.0121467781792837
5,"Cluster 3","y3",0.00818654481660926,0.0160058961964105
5,"Cluster 3","y4",0.00348127481195503,0.0168201911631364
5,"Cluster 3","y5",0.0060409929448111,0.0167376664876875
5,"Cluster 4","y1",0.00901172512669297,0.0149890320885224
5,"Cluster 4","y2",0.016469098115895,0.0159872629327583
5,"Cluster 4","y3",0.0142579119933483,0.0204116101618576
5,"Cluster 4","y4",-0.00438921189901601,0.0152294469096094
5,"Cluster 4","y5",0.00158020211947644,0.0175997056003241
6,"Cluster 1","y1",0.0084263296230225,0.0159783789420708
6,"Cluster 1","y2",-0.000963545385995124,0.0110275961561574
6,"Cluster 1","y3",0.00644826916393988,0.0171789670587622
6,"Cluster 1","y4",0.00720433858509453,0.0122820021545593
6,"Cluster 1","y5",0.000911728502700478,0.0146407500503143
6,"Cluster 2","y1",0.0218063816306989,0.022677261405507
6,"Cluster 2","y2",0.00326509663143678,0.0181064176353516
6,"Cluster 2","y3",0.00245495740881012,0.0191045040938164
6,"Cluster 2","y4",-0.00490373917040823,0.0217685744624548
6,"Cluster 2","y5",-0.00567723308856713,0.023200785652328
6,"Cluster 3","y1",0.00165755575740874,0.0145731805379183
6,"Cluster 3","y2",0.00185464877867636,0.0102913751354142
6,"Cluster 3","y3",0.0135461502464816,0.0118249889023703
6,"Cluster 3","y4",0.000126269359737818,0.0117366799882884
6,"Cluster 3","y5",0.0032710797307696,0.0151211690800798
6,"Cluster 4","y1",0.00499182916109849,0.00993550061853037
6,"Cluster 4","y2",0.0111362541150437,0.0119450598411089
6,"Cluster 4","y3",0.0125522124397855,0.0136679646662187
6,"Cluster 4","y4",-0.00770339898934633,0.00920731568420646
6,"Cluster 4","y5",0.000989989204738029,0.0124138650860468
7,"Cluster 1","y1",-0.00130507358215447,0.00885958606892511
7,"Cluster 1","y2",0.000395139842374851,0.01229533406519
7,"Cluster 1","y3",0.00197577751412504,0.0144661084877472
7,"Cluster 1","y4",0.00558179081054579,0.0128225675256982
7,"Cluster 1","y5",0.00253167582518287,0.0117946348924733
7,"Cluster 2","y1",0.00472753308502791,0.0141259585714493
7,"Cluster 2","y2",0.00280456479420108,0.0148766112597534
7,"Cluster 2","y3",-0.00249184232529083,0.0150093858409111
7,"Cluster 2","y4",0.00235666317025158,0.0134011526686154
7,"Cluster 2","y5",0.00169371293942131,0.0136691242147309
7,"Cluster 3","y1",-0.00200612729597419,0.00720040856522528
7,"Cluster 3","y2",0.00314196857491976,0.00783965565169733
7,"Cluster 3","y3",0.00280337145879851,0.00833099329581692
7,"Cluster 3","y4",0.00112076149728081,0.012377345874654
7,"Cluster 3","y5",0.000115253536787126,0.00995578867637085
7,"Cluster 4","y1",0.00218642443201688,0.0117295465115237
7,"Cluster 4","y2",0.00660204055286399,0.00609729003938091
7,"Cluster 4","y3",-6.60511879816158e-05,0.0105222772775718
7,"Cluster 4","y4",-0.00545113289010134,0.011501692680531
7,"Cluster 4","y5",0.00310670683289979,0.0116031326042691
8,"Cluster 1","y1",0.00227104357163596,0.0108003197309217
8,"Cluster 1","y2",0.00197971421154287,0.00751920854702875
8,"Cluster 1","y3",0.00236415290373824,0.0133024774655832
