"run","visit","cluster","feature","importance"
3,8,3,"y2",0.925551932658464
3,8,3,"y3",0.887951122888963
3,8,3,"y4",0.81690788972993
3,8,3,"y5",0.709473353061247
3,8,4,"y1",0.979724255043531
3,8,4,"y2",0.949347367698801
3,8,4,"y3",0.887147203231476
3,8,4,"y4",0.920802887658341
3,8,4,"y5",0.59776141927339
3,9,1,"y1",0.99287214113783
3,9,1,"y2",0.917677184967427
3,9,1,"y3",0.805563323217302
3,9,1,"y4",0.83516073768149
3,9,1,"y5",0.735786746274087
3,9,2,"y1",1
3,9,2,"y2",0.782014016841729
3,9,2,"y3",0.870421083307825
3,9,2,"y4",0.73797716783765
3,9,2,"y5",0.611375596055972
3,9,3,"y1",1
3,9,3,"y2",0.930828782763903
3,9,3,"y3",0.894405422584725
3,9,3,"y4",0.816517180976224
3,9,3,"y5",0.70373169110185
3,9,4,"y1",0.972761561126214
3,9,4,"y2",0.950940453883453
3,9,4,"y3",0.892016195312845
3,9,4,"y4",0.921645708356982
3,9,4,"y5",0.589051113498399
3,10,1,"y1",0.993935841268009
3,10,1,"y2",0.92226395231917
3,10,1,"y3",0.805567470831003
3,10,1,"y4",0.835259631985536
3,10,1,"y5",0.728015569311843
3,10,2,"y1",1
3,10,2,"y2",0.794645138655852
3,10,2,"y3",0.878186119815095
3,10,2,"y4",0.741637387610717
3,10,2,"y5",0.617031310587306
3,10,3,"y1",0.999193913037747
3,10,3,"y2",0.926294473329569
3,10,3,"y3",0.87785216718462
3,10,3,"y4",0.812233739829128
3,10,3,"y5",0.696465947393852
3,10,4,"y1",0.955396702634895
3,10,4,"y2",0.953414349335925
3,10,4,"y3",0.894597142006023
3,10,4,"y4",0.89935198193206
3,10,4,"y5",0.589377019293312
4,1,1,"y1",0.776051513474645
4,1,1,"y2",0.940224529911338
4,1,1,"y3",0.834657938211874
4,1,1,"y4",0.89542772775745
4,1,1,"y5",0.732879608487678
4,1,2,"y1",0.697772541783136
4,1,2,"y2",0.950423530508918
4,1,2,"y3",0.813313891244177
4,1,2,"y4",0.908762589848968
4,1,2,"y5",0.696794032015885
4,1,3,"y1",0.770520180340383
4,1,3,"y2",0.940090027100912
4,1,3,"y3",0.86196965632266
4,1,3,"y4",0.831034332194307
4,1,3,"y5",0.68391223107013
4,1,4,"y1",0.761394757791849
4,1,4,"y2",0.862684229573488
4,1,4,"y3",0.67344272765888
4,1,4,"y4",0.991785376676958
4,1,4,"y5",0.597618156441959
4,2,1,"y1",0.756095353821361
4,2,1,"y2",0.976001600677474
4,2,1,"y3",0.833323133903329
4,2,1,"y4",0.77215238600279
4,2,1,"y5",0.699344095610079
4,2,2,"y1",0.836421784901619
4,2,2,"y2",0.925186107917648
4,2,2,"y3",0.878224943209678
4,2,2,"y4",0.790410418567916
4,2,2,"y5",0.700303802066297
4,2,3,"y1",0.872262508985818
4,2,3,"y2",0.924313832141228
4,2,3,"y3",0.856910321209624
4,2,3,"y4",0.821042442672711
4,2,3,"y5",0.770421004401102
4,2,4,"y1",0.808209559856938
4,2,4,"y2",0.884305968942705
4,2,4,"y3",0.741271042110172
4,2,4,"y4",0.953982508419971
4,2,4,"y5",0.64862665744989
4,3,1,"y1",0.817644059040631
4,3,1,"y2",0.963192835739947
4,3,1,"y3",0.799430038145482
4,3,1,"y4",0.794291729205531
4,3,1,"y5",0.668299448549436
4,3,2,"y1",0.919029279235192
4,3,2,"y2",0.895814906316258
4,3,2,"y3",0.873026782133992
4,3,2,"y4",0.809325364513603
4,3,2,"y5",0.694977952565051
4,3,3,"y1",0.879635518651983
4,3,3,"y2",0.963202778596944
4,3,3,"y3",0.841316975414162
4,3,3,"y4",0.853112874039356
4,3,3,"y5",0.75033979403075
4,3,4,"y1",0.83124239095771
4,3,4,"y2",0.888426650119274
4,3,4,"y3",0.767683286276711
4,3,4,"y4",0.981296333580641
4,3,4,"y5",0.658102156062016
4,4,1,"y1",0.849093198769979
4,4,1,"y2",0.975875667529007
4,4,1,"y3",0.837491749560419
4,4,1,"y4",0.822546140805541
4,4,1,"y5",0.720492533994681
4,4,2,"y1",0.962855638723737
4,4,2,"y2",0.903572560494673
4,4,2,"y3",0.866168440643743
4,4,2,"y4",0.834001024264
4,4,2,"y5",0.670858563885494
4,4,3,"y1",0.88800058877762
4,4,3,"y2",0.989635742662098
4,4,3,"y3",0.863172682686086
4,4,3,"y4",0.845007760702304
4,4,3,"y5",0.731959667391638
4,4,4,"y1",0.848045011090433
4,4,4,"y2",0.926635224948511
4,4,4,"y3",0.819906718648367
4,4,4,"y4",0.991875137902342
4,4,4,"y5",0.704071852862338
4,5,1,"y1",0.835370438948708
4,5,1,"y2",0.986556995464103
4,5,1,"y3",0.848453782619342
4,5,1,"y4",0.836343009986287
4,5,1,"y5",0.694610927344562
4,5,2,"y1",0.950757465894252
4,5,2,"y2",0.934449004256454
4,5,2,"y3",0.897511752908387
4,5,2,"y4",0.814007224460835
4,5,2,"y5",0.665895864575745
4,5,3,"y1",0.908979381187234
4,5,3,"y2",0.972063562112528
4,5,3,"y3",0.87085697174577
4,5,3,"y4",0.858454152032615
4,5,3,"y5",0.726444878577857
4,5,4,"y1",0.856744931739486
4,5,4,"y2",0.925476982383752
4,5,4,"y3",0.799660091601011
4,5,4,"y4",0.985013958728339
4,5,4,"y5",0.717041725915677
4,6,1,"y1",0.857758823192916
4,6,1,"y2",0.996761790184122
4,6,1,"y3",0.851863236652407
4,6,1,"y4",0.846196819470413
4,6,1,"y5",0.668284372505662
4,6,2,"y1",0.95233368612989
4,6,2,"y2",0.929151656689617
4,6,2,"y3",0.889031219590664
4,6,2,"y4",0.792225531708371
4,6,2,"y5",0.665699897318992
4,6,3,"y1",0.92233622914331
4,6,3,"y2",0.984103085480442
4,6,3,"y3",0.90976246522255
4,6,3,"y4",0.863454477579582
4,6,3,"y5",0.72856302746367
4,6,4,"y1",0.874850616053675
4,6,4,"y2",0.941974297360728
4,6,4,"y3",0.815095499498554
4,6,4,"y4",0.973726923372888
4,6,4,"y5",0.737303284542976
4,7,1,"y1",0.847181254113637
4,7,1,"y2",0.996945013052576
4,7,1,"y3",0.838189834886298
4,7,1,"y4",0.85721989919218
4,7,1,"y5",0.663016818177916
4,7,2,"y1",0.973843699776925
4,7,2,"y2",0.939560728060942
4,7,2,"y3",0.889287303779311
4,7,2,"y4",0.804845047746175
4,7,2,"y5",0.675100874670498
4,7,3,"y1",0.908154920510394
4,7,3,"y2",0.995225207230062
4,7,3,"y3",0.89906500724719
4,7,3,"y4",0.862246340475295
4,7,3,"y5",0.716899919875745
4,7,4,"y1",0.878326208638785
4,7,4,"y2",0.953739678922113
4,7,4,"y3",0.820652846057897
4,7,4,"y4",0.966714120409662
4,7,4,"y5",0.743719168145645
4,8,1,"y1",0.835897371846329
4,8,1,"y2",0.995373058532566
4,8,1,"y3",0.837341673943577
4,8,1,"y4",0.873293028617847
4,8,1,"y5",0.654773578971783
4,8,2,"y1",0.975903144814371
4,8,2,"y2",0.939899101164455
4,8,2,"y3",0.883776836663546
4,8,2,"y4",0.788096915143519
4,8,2,"y5",0.6666528102558
4,8,3,"y1",0.88657439499388
4,8,3,"y2",0.998067610858177
4,8,3,"y3",0.883749208700967
4,8,3,"y4",0.862608420946775
4,8,3,"y5",0.712930747283819
4,8,4,"y1",0.870576706040788
4,8,4,"y2",0.946621242380023
4,8,4,"y3",0.820672117968549
4,8,4,"y4",0.967310925782634
4,8,4,"y5",0.732417475934876
4,9,1,"y1",0.820194263937274
4,9,1,"y2",0.991745401436955
4,9,1,"y3",0.816718920199634
4,9,1,"y4",0.875559666185841
4,9,1,"y5",0.673518321274827
4,9,2,"y1",0.977709147132337
4,9,2,"y2",0.946428425144334
4,9,2,"y3",0.886288819361073
4,9,2,"y4",0.790545746714291
4,9,2,"y5",0.668949341542598
4,9,3,"y1",0.887835346814048
4,9,3,"y2",0.992694520158481
4,9,3,"y3",0.879299214544793
4,9,3,"y4",0.860708817277877
4,9,3,"y5",0.723129046468726
4,9,4,"y1",0.88800085687714
4,9,4,"y2",0.953409423190377
4,9,4,"y3",0.821265561184461
