"scenario","run","P","P_signal","P_selected","signals_retained","false_positives","signal_mass","enrichment"
"nuisance100",6,100,5,3,3,0,0.135608180329757,2.98077257053209
"nuisance100",7,100,5,5,5,0,0.220479522371671,5.37395879298388
"nuisance100",8,100,5,5,5,0,0.210625346187907,5.06968593207816
"nuisance100",9,100,5,5,5,0,0.181633307227736,4.21697616460467
"nuisance100",10,100,5,5,5,0,0.217799142247053,5.29043616058144
"nuisance100",11,100,5,5,5,0,0.155935413478991,3.51012576929986
"nuisance100",12,100,5,5,5,0,0.213623975288757,5.16146907197075
"nuisance100",13,100,5,5,5,0,0.190433740019786,4.46935753036986
"nuisance100",14,100,5,4,4,0,0.172687886861072,3.96593957498286
"nuisance100",15,100,5,5,5,0,0.174224705873998,4.00868061221126
"nuisance100",16,100,5,5,5,0,0.184008688980855,4.28456166557664
"nuisance100",17,100,5,5,5,0,0.20412868997828,4.87320633467924
"nuisance100",18,100,5,5,5,0,0.187920386140366,4.39672080880989
"nuisance100",19,100,5,5,5,0,0.233853613752558,5.79943825495455
"nuisance100",20,100,5,3,3,0,0.119281050613205,2.57328397808273
"nuisance100",21,100,5,5,5,0,0.191710255084165,4.50642219514787
"nuisance100",22,100,5,5,5,0,0.185293295369419,4.32127610096855
"nuisance100",23,100,5,5,5,0,0.193819032249492,4.56790939014081
"nuisance100",24,100,5,5,5,0,0.188244909827359,4.40607435668702
"nuisance100",25,100,5,5,5,0,0.186124124832265,4.34508317510235
"nuisance100",26,100,5,5,5,0,0.218664350826388,5.31733406775381
"nuisance100",27,100,5,5,5,0,0.220096686030725,5.3619941852799
"nuisance100",28,100,5,5,5,0,0.199686104299002,4.74068487634821
"nuisance100",29,100,5,5,5,0,0.1915575635844,4.50198250878628
"nuisance100",30,100,5,5,5,0,0.180098049147916,4.17350261242119
"imbalanced",1,10,5,5,5,0,0.874809746656545,6.9878422903781
"imbalanced",2,10,5,5,5,0,0.848590539384679,5.60460710933154
"imbalanced",3,10,5,5,5,0,0.86075331947456,6.18149974007678
"imbalanced",4,10,5,5,5,0,0.868029065847544,6.57742609326971
"imbalanced",5,10,5,5,5,0,0.852518152406099,5.78049547327039
"imbalanced",6,10,5,5,5,0,0.88747324503764,7.88677541918361
"imbalanced",7,10,5,5,5,0,0.880606932824318,7.37569570541768
"imbalanced",8,10,5,5,5,0,0.875864380348794,7.05570554857486
"imbalanced",9,10,5,5,5,0,0.895385706711113,8.55892324616245
"imbalanced",10,10,5,5,5,0,0.881127821320514,7.41239734232761
"imbalanced",11,10,5,5,5,0,0.869801116878502,6.68055743663196
"imbalanced",12,10,5,5,5,0,0.877383297359894,7.15549577234279
"imbalanced",13,10,5,5,5,0,0.870299843758016,6.71009094340856
